RedFighter,BlueFighter,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,Date,Location,Country,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,EmptyArena,BMatchWCRank,RMatchWCRank,RWFlyweightRank,RWFeatherweightRank,RWStrawweightRank,RWBantamweightRank,RHeavyweightRank,RLightHeavyweightRank,RMiddleweightRank,RWelterweightRank,RLightweightRank,RFeatherweightRank,RBantamweightRank,RFlyweightRank,RPFPRank,BWFlyweightRank,BWFeatherweightRank,BWStrawweightRank,BWBantamweightRank,BHeavyweightRank,BLightHeavyweightRank,BMiddleweightRank,BWelterweightRank,BLightweightRank,BFeatherweightRank,BBantamweightRank,BFlyweightRank,BPFPRank,BetterRank,Finish,FinishDetails,FinishRound,FinishRoundTime,TotalFightTimeSecs,RedDecOdds,BlueDecOdds,RSubOdds,BSubOdds,RKOOdds,BKOOdds,FinishRoundTimeSecs,TotalFightDurationSecs,RedWin,BlueWin,RedWinPercentage,BlueWinPercentage
Cathal Pendred,Mike King,0.6738738738738739,0.528,0.09340662337662338,0.08645163647866745,2014-07-19,"Dublin, Leinster, Ireland", Ireland,Red,False,Middleweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,190.5,190.5,185,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,185.42,190.5,170,26,30,0,0,0,0,0,0,0,0,0,5.08,0.0,-4,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,2.0,3:33,513.0,0.20422535211267606,0.1428125,0.22244289970208542,0.3728251864125932,0.30077519379844964,0.23132183908045978,213.0,513.0,True,False,0.75,0.0
Tor Troeng,Trevor Smith,0.6648648648648648,0.538,0.07729363636363636,0.10580647468886517,2014-07-19,"Dublin, Leinster, Ireland", Ireland,Blue,False,Middleweight,MALE,3,1,0,0,49.0,0.52,0.6667,0.6667,0.107,1,2,7,0,0,1,0,0,0,0,1,Orthodox,190.5,190.5,185,1,0,0,7.5,0.53,0.5,0.5,0.5,1,1,4,0,0,0,0,0,1,0,1,Orthodox,187.96,195.58,185,31,33,0,0,0,0,-1,3,0,0,-1,2.54,-5.08,-2,41.5,0.1667,0.1667,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,Unknown,3.0,5:00,900.0,0.2961267605633803,0.17343750000000002,0.22244289970208542,0.4009942004971003,0.30077519379844964,0.21982758620689657,300.0,900.0,False,True,0.0,0.4
Cody Donovan,Nikita Krylov,0.7621621621621621,0.43000000000000005,0.14285714285714285,0.05548389534235109,2014-07-19,"Dublin, Leinster, Ireland", Ireland,Blue,False,Light Heavyweight,MALE,3,1,0,0,19.0,0.53,0.6667,0.0,0.0,1,2,5,0,0,0,0,1,0,0,1,Orthodox,190.5,195.58,205,2,0,0,26.6667,0.64,0.0,0.3333,0.333,1,2,4,0,0,0,0,1,0,0,1,Orthodox,190.5,187.96,205,33,22,1,0,0,0,0,1,0,0,0,0.0,7.62,11,-7.6667,0.6667,-0.3333,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,1.0,4:57,297.0,0.4683098591549296,0.2884375,0.22244289970208542,0.3728251864125932,0.30077519379844964,0.23132183908045978,297.0,297.0,False,True,0.0,0.8333333333333334
Paddy Holohan,Joshua Sampo,0.8018018018018018,0.382,0.2857142857142857,0.025148128383274102,2014-07-19,"Dublin, Leinster, Ireland", Ireland,Red,False,Flyweight,MALE,3,1,0,0,23.5,0.355,2.5,1.0,0.5,1,1,5,0,0,0,0,0,1,0,1,Orthodox,162.56,162.56,125,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,175.26,125,26,29,-1,0,1,1,-1,5,0,0,1,-15.24,-12.7,-3,23.5,2.5,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,Unknown,,,,0.27816901408450706,0.103125,0.22244289970208542,0.3728251864125932,0.30077519379844964,0.23132183908045978,,,True,False,0.75,0.0
Donald Cerrone,Jim Miller,0.6342342342342342,0.5680000000000001,0.0476190909090909,0.16387098931945834,2014-07-16,"Atlantic City, New Jersey, USA", USA,Red,False,Lightweight,MALE,5,0,2,0,26.0,0.335,1.8235,1.3529,0.492,7,4,39,0,0,0,5,2,6,0,13,Southpaw,172.72,180.34,155,0,3,0,40.7692,0.475,0.3846,0.8462,0.319,4,3,25,0,0,0,3,3,4,0,10,Orthodox,185.42,185.42,155,31,30,0,-1,3,3,-1,14,0,-1,2,-12.7,-5.08,1,-14.7692,1.4389,0.5068,0.0,7.0,6.0,,,,,,,,,6.0,,,,,,,,,,,,,7.0,,,,,Red,KO/TKO,Kick,2.0,3:31,511.0,0.2482394366197183,0.27656250000000004,0.12909632571996027,0.2899751449875725,0.2601550387596899,0.28160919540229884,211.0,511.0,True,False,0.7142857142857143,0.16666666666666666
Edson Barboza,Evan Dunham,0.6054054054054053,0.5840000000000001,0.03409090909090909,0.19483873045577468,2014-07-16,"Atlantic City, New Jersey, USA", USA,Red,False,Lightweight,MALE,3,2,0,0,58.4167,0.373,1.0,1.3333,0.35,4,5,30,0,0,3,1,1,1,1,7,Southpaw,177.8,177.8,155,1,0,0,38.6667,0.463,0.1111,0.4444,0.222,4,2,20,0,1,1,1,4,0,0,7,Orthodox,180.34,190.5,155,28,32,-1,0,0,0,-3,10,0,-2,1,-2.54,-12.7,-4,19.75,0.8889,0.8889,0.0,,13.0,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,Red,KO/TKO,Kick,1.0,3:06,186.0,0.2165492957746479,0.2259375,0.19046673286991062,0.4059652029826015,0.22635658914728682,0.27155172413793105,186.0,186.0,True,False,0.5384615384615384,0.6666666666666666
Rick Story,Leonardo Mafra,0.6126126126126126,0.5880000000000001,0.036796493506493506,0.20258066573985378,2014-07-16,"Atlantic City, New Jersey, USA", USA,Red,False,Welterweight,MALE,3,1,0,0,33.0,0.4,1.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,177.8,177.8,155,1,0,0,42.2667,0.402,0.8667,2.3333,0.565,6,6,39,0,0,2,4,2,1,0,9,Southpaw,175.26,180.34,170,29,25,0,0,-6,-9,5,-36,0,-2,-1,2.54,-2.54,4,-9.2667,0.1333,-2.3333,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Arm Triangle,2.0,2:12,432.0,0.20950704225352115,0.2340625,0.1926514399205561,0.4354598177299089,0.22015503875968992,0.2385057471264368,132.0,432.0,True,False,1.0,0.0
Justin Salas,Joe Proctor,0.6720720720720721,0.53,0.08970662337662337,0.090322604120707,2014-07-16,"Atlantic City, New Jersey, USA", USA,Blue,False,Lightweight,MALE,3,0,1,0,32.6667,0.343,1.6667,0.0,0.0,1,1,7,0,0,0,1,1,0,0,2,Orthodox,177.8,182.88,155,0,1,0,26.6,0.488,0.0,1.4,0.118,1,2,9,0,0,1,1,1,0,0,3,Southpaw,172.72,177.8,155,32,28,0,0,0,-1,1,-2,0,0,0,5.08,5.08,4,6.0667,1.6667,-1.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,2.0,3:27,507.0,0.21478873239436622,0.153125,0.2909632571996028,0.2874896437448219,0.28527131782945736,0.2867816091954023,207.0,507.0,False,True,0.0,1.0
John Lineker,Alptekin Ozkilic,0.5963963963963963,0.6060000000000001,0.031149999999999997,0.23741937451820969,2014-07-16,"Atlantic City, New Jersey, USA", USA,Red,False,Flyweight,MALE,3,1,0,0,43.5,0.27,0.0,6.0,0.82,1,1,6,0,0,1,0,0,0,0,1,Orthodox,165.1,165.1,125,1,0,0,48.1667,0.427,0.3333,0.3333,0.167,4,2,13,0,0,0,1,3,0,0,4,Orthodox,160.02,170.18,135,24,28,0,0,-3,-3,1,-7,0,-3,0,5.08,-5.08,-4,-4.6667,-0.3333,5.6667,0.0,,7.0,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,Red,KO/TKO,Punch,3.0,4:51,891.0,0.20422535211267606,0.1978125,0.3559086395233367,0.3927091963545982,0.20155038759689922,0.34051724137931033,291.0,891.0,True,False,1.0,0.0
Lucas Martins,Alex White,0.7765765765765765,0.41000000000000003,0.19480519480519481,0.03778807644417868,2014-07-16,"Atlantic City, New Jersey, USA", USA,Red,False,Featherweight,MALE,3,0,1,0,20.0,0.66,0.0,0.0,0.0,1,0,1,0,0,0,0,1,0,0,1,Southpaw,182.88,180.34,155,0,2,0,20.3333,0.41,0.3333,0.0,0.0,2,1,5,0,0,0,0,1,1,0,2,Southpaw,182.88,182.88,145,25,25,0,-1,-1,-1,1,-4,0,0,-1,0.0,-2.54,0,-0.3333,-0.3333,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,3.0,2:08,728.0,0.34507042253521125,0.178125,0.24071499503475668,0.2618061309030655,0.2697674418604651,0.1293103448275862,128.0,728.0,True,False,1.0,0.4
Gleison Tibau,Pat Healy,0.6612612612612612,0.542,0.07221571428571429,0.11354840997294427,2014-07-16,"Atlantic City, New Jersey, USA", USA,Red,False,Lightweight,MALE,3,5,0,0,40.2,0.38,0.4,1.8,0.214,0,5,13,0,0,0,0,0,0,0,0,Orthodox,182.88,187.96,155,1,0,0,21.619,0.352,0.7619,3.381,0.539,3,8,52,0,0,3,5,1,4,0,13,Southpaw,177.8,180.34,155,30,30,-4,0,-3,-13,3,-39,0,-1,-4,5.08,7.62,0,18.581,-0.3619,-1.581,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,Unknown,3.0,5:00,900.0,0.2007042253521127,0.125,0.182720953326713,0.3976801988400994,0.33333333333333337,0.28160919540229884,300.0,900.0,True,False,1.0,0.0
Jessamyn Duke,Leslie Smith,0.7639639639639639,0.42800000000000005,0.14935064935064934,0.0531017792747928,2014-07-16,"Atlantic City, New Jersey, USA", USA,Blue,False,Women's Bantamweight,FEMALE,3,1,0,0,79.0,0.32,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,175.26,167.64,135,1,0,0,88.5,0.535,1.5,1.0,0.33,1,1,6,0,0,0,1,0,0,0,1,Orthodox,180.34,185.42,135,28,31,0,0,-1,-1,0,-3,0,0,0,-5.08,-17.78,-3,-9.5,-1.5,-1.0,0.0,,14.0,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,Red,KO/TKO,Punch,1.0,2:24,144.0,0.23063380281690143,0.1109375,0.1996027805362463,0.4009942004971003,0.4976744186046512,0.21982758620689657,144.0,144.0,False,True,0.0,0.5
Hugo Viana,Aljamain Sterling,0.8036036036036036,0.38,0.2922077922077922,0.02451615420603473,2014-07-16,"Atlantic City, New Jersey, USA", USA,Blue,False,Bantamweight,MALE,3,0,1,0,46.0,0.51,3.0,3.0,0.6,1,0,3,0,0,0,1,0,0,0,1,Orthodox,170.18,180.34,135,0,1,0,44.25,0.418,0.0,0.0,0.0,2,1,8,0,0,1,1,1,0,0,3,Orthodox,167.64,170.18,135,31,24,0,0,-1,-2,1,-5,0,-1,0,2.54,10.16,7,1.75,3.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,3.0,3:50,830.0,0.2588028169014085,0.10625000000000001,0.36742800397219466,0.2742336371168186,0.32558139534883723,0.1968390804597701,230.0,830.0,False,True,0.0,0.8333333333333334
Yosdenis Cedeno,Jerrod Sanders,0.781981981981982,0.406,0.21428571428571427,0.03539674747363233,2014-07-16,"Atlantic City, New Jersey, USA", USA,Red,False,Lightweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,172.72,182.88,135,1,0,0,26.0,0.31,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,172.72,175.26,155,29,34,1,0,0,0,1,-3,0,0,0,0.0,7.62,-5,-26.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Unknown,1.0,5:00,300.0,0.24049295774647889,0.115625,0.3614697120158888,0.27009113504556753,0.35813953488372097,0.2614942528735632,300.0,300.0,True,False,1.0,0.5
Claudia Gadelha,Tina Lahdemaki,0.518918918918919,0.67,0.016697532467532465,0.36129033906347513,2014-07-16,"Atlantic City, New Jersey, USA", USA,Red,False,Women's Strawweight,FEMALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,157.48,157.48,115,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,162.56,160.02,115,25,26,0,0,0,0,0,0,0,0,0,-5.08,-2.54,-1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,Unknown,3.0,5:00,900.0,0.19507042253521129,0.19875,0.1221449851042701,0.45567522783761394,0.3023255813953488,0.6623563218390804,300.0,900.0,True,False,0.6666666666666666,0.0
Frankie Edgar,BJ Penn,0.5873873873873874,0.6120000000000001,0.028606493506493504,0.24903227744432832,2014-07-06,"Las Vegas, Nevada, USA", USA,Red,False,Featherweight,MALE,5,3,0,0,39.0,0.567,0.5455,1.1818,0.374,3,10,65,11,0,0,1,6,4,1,12,Orthodox,175.26,177.8,155,0,1,0,60.5333,0.419,0.4,3.0667,0.295,5,5,55,7,0,0,7,2,1,0,10,Orthodox,167.64,172.72,145,32,35,-3,-1,-2,2,-5,10,4,5,3,7.62,5.08,-3,-21.5333,0.1455,-1.8848,0.0,,3.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,Red,KO/TKO,Punches,3.0,4:16,856.0,0.1109154929577465,0.296875,0.31777557100297915,0.43082021541010773,0.2713178294573644,0.4252873563218391,256.0,856.0,True,False,0.7,0.0
Corey Anderson,Matt Van Buren,0.6252252252252252,0.5780000000000001,0.04251402597402597,0.18322582752965605,2014-07-06,"Las Vegas, Nevada, USA", USA,Red,True,Light Heavyweight,MALE,4,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,195.58,193.04,205,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,190.5,200.66,205,24,28,0,0,0,0,0,0,0,0,0,5.08,-7.62,-4,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,1.0,1:01,61.0,0.1971830985915493,0.204375,0.22244289970208542,0.3728251864125932,0.30077519379844964,0.23132183908045978,61.0,61.0,True,False,0.8571428571428571,0.0
Dhiego Lima,Eddie Gordon,0.6666666666666666,0.536,0.08008662337662338,0.10193550704682564,2014-07-06,"Las Vegas, Nevada, USA", USA,Blue,True,Middleweight,MALE,4,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,182.88,193.04,185,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,187.96,187.96,170,25,30,0,0,0,0,0,0,0,0,0,-5.08,5.08,-5,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,1.0,1:11,71.0,0.22535211267605637,0.13125,0.22244289970208542,0.3728251864125932,0.30077519379844964,0.23132183908045978,71.0,71.0,False,True,0.25,1.0
Derrick Lewis,Guto Inocente,0.654054054054054,0.548,0.06370662337662338,0.12516131289906288,2014-07-06,"Las Vegas, Nevada, USA", USA,Red,False,Heavyweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,190.5,195.58,205,0,1,0,22.0,0.81,0.0,1.0,1.0,1,0,1,0,0,0,0,1,0,0,1,Orthodox,190.5,200.66,260,29,28,0,-1,-1,-1,0,-1,0,-1,0,0.0,-5.08,1,-22.0,0.0,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,1.0,3:30,210.0,0.31338028169014087,0.16375,0.22244289970208542,0.3728251864125932,0.30077519379844964,0.23132183908045978,210.0,210.0,True,False,0.7368421052631579,0.0
Justin Scoggins,Dustin Ortiz,0.6162162162162161,0.5840000000000001,0.03828935064935064,0.19483873045577468,2014-07-06,"Las Vegas, Nevada, USA", USA,Blue,False,Flyweight,MALE,3,0,1,0,45.3333,0.503,0.0,2.6667,0.423,1,1,9,0,0,1,0,1,0,0,2,Orthodox,165.1,165.1,125,0,2,0,44.0,0.655,0.0,4.0,0.63,2,0,4,0,0,0,1,1,0,0,2,Southpaw,170.18,167.64,125,22,25,0,-1,-1,0,-1,5,0,0,0,-5.08,-2.54,-3,1.3333,0.0,-1.3333,0.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,Blue,S-DEC,Unknown,3.0,5:00,900.0,0.19542253521126762,0.1859375,0.22244289970208542,0.3728251864125932,0.30077519379844964,0.23132183908045978,300.0,900.0,False,True,0.3333333333333333,0.5
Jesse Ronson,Kevin Lee,0.7927927927927928,0.392,0.2532467532467532,0.028738992806735673,2014-07-06,"Las Vegas, Nevada, USA", USA,Blue,False,Lightweight,MALE,3,1,0,0,39.0,0.27,2.0,1.0,0.12,0,1,3,0,0,0,0,0,0,0,0,Orthodox,175.26,195.58,170,2,0,0,45.5,0.47,0.0,0.5,0.5,0,2,6,0,0,0,0,0,0,0,0,Southpaw,177.8,182.88,155,28,21,1,0,0,0,1,-3,0,0,0,-2.54,12.7,7,-6.5,2.0,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,Unknown,3.0,5:00,900.0,0.2535211267605634,0.10625000000000001,0.22244289970208542,0.3728251864125932,0.30077519379844964,0.23132183908045978,300.0,900.0,False,True,0.0,0.8
Jumabieke Tuerxun,Leandro Issa,0.7621621621621621,0.43000000000000005,0.14285714285714285,0.05548389534235109,2014-07-06,"Las Vegas, Nevada, USA", USA,Blue,False,Bantamweight,MALE,3,1,0,0,17.0,0.31,1.0,2.0,0.2,0,1,2,0,0,0,0,0,0,0,0,Orthodox,170.18,175.26,135,1,0,0,12.0,0.35,2.0,1.0,0.11,0,1,3,0,0,0,0,0,0,0,0,Orthodox,170.18,170.18,135,28,30,0,0,0,0,0,-1,0,0,0,0.0,5.08,-2,5.0,-1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Armbar,3.0,3:49,829.0,0.20598591549295775,0.14375,0.22244289970208542,0.3728251864125932,0.30077519379844964,0.23132183908045978,229.0,829.0,False,True,0.0,0.5
Adriano Martins,Juan Puig,0.5693693693693693,0.63,0.024427922077922076,0.2838709862226842,2014-07-06,"Las Vegas, Nevada, USA", USA,Red,False,Lightweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,175.26,182.88,145,1,0,0,14.5,0.58,0.5,0.5,0.5,1,1,3,0,0,0,0,0,1,0,1,Southpaw,177.8,182.88,155,31,25,1,0,-1,-1,1,-3,0,0,-1,-2.54,0.0,6,-14.5,-0.5,-0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,Unknown,,,,0.21478873239436622,0.24375,0.22244289970208542,0.3728251864125932,0.30077519379844964,0.23132183908045978,,,True,False,2.0,0.0
Patrick Walsh,Daniel Spohn,0.7963963963963964,0.388,0.2662337662337662,0.02720903155589596,2014-07-06,"Las Vegas, Nevada, USA", USA,Red,False,Light Heavyweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Southpaw,193.04,200.66,205,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Southpaw,180.34,180.34,185,25,29,0,0,0,0,0,0,0,0,0,12.7,20.32,-4,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,Unknown,3.0,5:00,900.0,0.2792253521126761,0.15531250000000002,0.22244289970208542,0.3728251864125932,0.30077519379844964,0.23132183908045978,300.0,900.0,True,False,inf,0.0
Sarah Moras,Alexis Dufresne,0.7963963963963964,0.388,0.2662337662337662,0.02720903155589596,2014-07-06,"Las Vegas, Nevada, USA", USA,Red,False,Catch Weight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,175.26,172.72,135,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,170.18,135,26,23,0,0,0,0,0,0,0,0,0,5.08,2.54,3,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,Unknown,3.0,5:00,900.0,0.2397887323943662,0.165,0.22244289970208542,0.3728251864125932,0.30077519379844964,0.23132183908045978,300.0,900.0,True,False,0.5,0.0
Chris Weidman,Lyoto Machida,0.654054054054054,0.548,0.06370662337662338,0.12516131289906288,2014-07-05,"Las Vegas, Nevada, USA", USA,Red,True,Middleweight,MALE,5,0,2,0,30.9412,0.541,0.4706,0.8235,0.362,8,4,44,4,0,1,6,5,1,0,13,Southpaw,185.42,187.96,185,0,7,0,25.2857,0.463,1.0,2.1429,0.801,7,0,14,2,0,0,2,3,2,0,7,Orthodox,187.96,198.12,185,30,36,0,-5,1,6,-4,30,2,2,-1,-2.54,-10.16,-6,5.6555,-0.5294,-1.3193,0.0,3.0,0.0,,,,,,,0.0,,,,,,5.0,,,,,,,3.0,,,,,,,Red,U-DEC,Unknown,5.0,5:00,1500.0,0.23943661971830987,0.2109375,0.15888778550148958,0.5244407622203812,0.2589147286821705,0.1839080459770115,300.0,1500.0,True,False,0.5,0.5
Ronda Rousey,Alexis Davis,0.39639639639639634,0.76,0.007936493506493506,0.5354838829552547,2014-07-05,"Las Vegas, Nevada, USA", USA,Red,True,Women's Bantamweight,FEMALE,5,0,3,0,49.0,0.45,1.0,1.0,0.553,3,0,9,0,0,1,2,0,0,0,3,Orthodox,167.64,172.72,125,0,3,0,20.3333,0.577,1.3333,2.3333,0.583,3,0,5,3,0,0,0,1,2,0,3,Orthodox,170.18,172.72,135,27,29,0,0,0,0,0,4,-3,-1,-2,-2.54,0.0,-2,28.6667,-0.3333,-1.3333,0.0,2.0,0.0,,,,0.0,,,,,,,,,10.0,,,,2.0,,,,,,,,,,Red,KO/TKO,Punches,1.0,0:16,16.0,0.38204225352112675,0.640625,0.017874875868917582,0.4366197183098592,0.31007751937984496,0.5402298850574713,16.0,16.0,True,False,1.0,0.0
Uriah Hall,Thiago Santos,0.609009009009009,0.5820000000000001,0.035400129870129866,0.19096776281373515,2014-07-05,"Las Vegas, Nevada, USA", USA,Red,False,Middleweight,MALE,3,0,1,0,3.5,0.215,0.0,0.0,0.0,1,1,2,0,0,0,0,1,0,0,1,Orthodox,187.96,193.04,205,0,1,0,35.0,0.553,0.0,1.3333,0.303,1,2,7,1,0,0,0,0,0,1,1,Orthodox,182.88,200.66,185,29,30,0,0,0,0,1,-5,-1,0,0,5.08,-7.62,-1,-31.5,0.0,-1.3333,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,Unknown,3.0,5:00,900.0,0.2426056338028169,0.2171875,0.3326713008937438,0.503728251864126,0.13643410852713178,0.4109195402298851,300.0,900.0,True,False,0.6153846153846154,0.5714285714285714
Marcus Brimage,Russell Doane,0.6792792792792792,0.522,0.106437012987013,0.07483873355254882,2014-07-05,"Las Vegas, Nevada, USA", USA,Blue,False,Bantamweight,MALE,3,0,1,0,43.0,0.5,1.0,0.0,0.0,1,0,2,0,0,0,0,0,1,0,1,Orthodox,170.18,177.8,135,1,0,0,58.75,0.323,0.0,0.25,0.25,3,1,10,0,0,1,2,0,0,0,3,Southpaw,162.56,180.34,135,29,27,1,1,-2,-2,1,-8,0,0,1,7.62,-2.54,2,-15.75,1.0,-0.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,Unknown,3.0,5:00,900.0,0.22535211267605637,0.1359375,0.3515392254220457,0.2858326429163215,0.31007751937984496,0.25,300.0,900.0,False,True,0.0,0.5
Urijah Faber,Alex Caceres,0.4666666666666666,0.7080000000000001,0.011927792207792208,0.4348387242622265,2014-07-05,"Las Vegas, Nevada, USA", USA,Red,False,Bantamweight,MALE,3,0,2,0,48.2222,0.528,1.3333,0.2222,0.222,2,4,23,0,0,2,1,0,2,0,5,Southpaw,177.8,185.42,145,1,0,0,44.0,0.498,0.6667,1.4444,0.371,4,3,26,3,0,0,2,0,4,0,6,Orthodox,167.64,170.18,135,35,26,1,2,-2,-1,-1,-3,-3,0,-2,10.16,15.24,9,4.2222,0.6667,-1.2222,0.0,11.0,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,11.0,,,Red,SUB,Rear Naked Choke,3.0,1:09,669.0,0.2137323943661972,0.4328125,0.05263157894736842,0.628003314001657,0.3516279069767442,0.6408045977011494,69.0,669.0,True,False,1.0,0.16666666666666666
Kenny Robertson,Ildemar Alcantara,0.7621621621621621,0.43000000000000005,0.14285714285714285,0.05548389534235109,2014-07-05,"Las Vegas, Nevada, USA", USA,Red,False,Welterweight,MALE,3,0,1,0,31.25,0.463,1.5,3.0,0.808,2,1,11,0,0,1,1,0,1,0,3,Orthodox,187.96,198.12,185,0,1,0,24.8,0.556,0.6,0.6,0.432,1,3,10,0,0,0,0,0,2,0,2,Orthodox,177.8,187.96,170,30,31,0,0,1,1,2,1,0,0,-1,10.16,10.16,-1,6.45,0.9,2.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,Unknown,3.0,5:00,900.0,0.2693661971830986,0.13125,0.1429990069513406,0.30654515327257664,0.4229457364341085,0.1954022988505747,300.0,900.0,True,False,1.0,0.5
Chris Camozzi,Bruno Santos,0.6342342342342342,0.5680000000000001,0.0476190909090909,0.16387098931945834,2014-07-05,"Las Vegas, Nevada, USA", USA,Blue,False,Middleweight,MALE,3,1,0,0,12.0,0.5,1.0,1.0,0.08,0,1,3,0,0,0,0,0,0,0,0,Orthodox,175.26,175.26,185,2,0,0,46.9,0.429,0.3,0.0,0.0,4,4,26,0,0,2,2,0,1,1,6,Orthodox,187.96,193.04,185,27,26,1,0,-4,-6,3,-23,0,-1,-1,-12.7,-17.78,1,-34.9,0.7,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,Unknown,3.0,5:00,900.0,0.19190140845070425,0.2171875,0.1906653426017875,0.503728251864126,0.324031007751938,0.4109195402298851,300.0,900.0,False,True,1.0,1.0
